subID	modeli	name	Mp	wp	scl	nll	nllsd	success	iterations
1	1	McFadden	0.513490334	NaN	NaN	104.3101728	0.030393134	2	18
1	2	LinearDistrb	0.326935584	NaN	0.762531562	98.96542413	0.032635246	1	21
1	3	DN	0.516213679	2.37E-07	NaN	104.3227404	0.036382162	1	23
1	4	dDNb	0.322760968	0	0.730336803	99.01907584	0.037350286	2	24
1	5	dDNd	0.325192214	0	0.769793133	98.99341527	0.037907259	1	19
2	1	McFadden	0.210445592	NaN	NaN	40.3964397	0.016787765	1	18
2	2	LinearDistrb	0.208246231	NaN	0.032849884	40.39654008	0.020698661	2	20
2	3	DN	0.211668787	0	NaN	40.39308648	0.026319487	1	17
2	4	dDNb	0.21071953	0	0.013717963	40.41098844	0.028226317	1	21
2	5	dDNd	0.211908969	0	3.61E-05	40.39505946	0.019155979	1	28
3	1	McFadden	0.185335431	NaN	NaN	15.90914766	0.009192087	1	19
3	2	LinearDistrb	0.000724792	NaN	0.653694153	14.94958345	0.008453774	2	12
3	3	DN	0.185327331	4.97E-07	NaN	15.90560016	0.007496963	1	19
3	4	dDNb	0.002990723	0	0.658953857	14.9594122	0.00799023	1	19
3	5	dDNd	0.00015831	0	0.644623566	14.94949057	0.0082966	2	19
4	1	McFadden	0.785857797	NaN	NaN	185.6282166	0.023380075	2	17
4	2	LinearDistrb	0.703014024	NaN	0.350599158	185.00439	0.025923756	1	29
4	3	DN	0.871363837	0	NaN	185.6937463	0.021356465	1	22
4	4	dDNb	0.721145036	2.14E-05	0.3192945	184.9999414	0.02376972	1	22
4	5	dDNd	0.723503411	0	0.33593843	185.0216799	0.021824803	2	30
5	1	McFadden	0.284037223	NaN	NaN	53.43361748	0.017294665	1	20
5	2	LinearDistrb	0.209241264	NaN	0.798148194	51.33527667	0.016826849	2	21
5	3	DN	0.283200411	0	NaN	53.4351015	0.023757022	1	18
5	4	dDNb	0.205224991	0	0.78727417	51.33908469	0.017271282	2	19
5	5	dDNd	0.20583573	0	0.795414191	51.33899512	0.017012667	2	18
6	1	McFadden	0.398987703	NaN	NaN	140.2812803	0.019715565	2	20
6	2	LinearDistrb	0.408972299	NaN	0.009940468	140.2751005	0.022360946	1	21
6	3	DN	0.401075528	0.000538318	NaN	140.2833704	0.031473464	1	22
6	4	dDNb	0.399417479	0.000344567	0.050921172	140.3095883	0.024113551	2	26
6	5	dDNd	0.402927399	0	0.081735611	140.2947743	0.026969388	1	28
7	1	McFadden	0.333600038	NaN	NaN	112.9997672	0.021867383	1	20
7	2	LinearDistrb	1.67E-05	NaN	0.868699169	95.87840665	0.014974526	2	16
7	3	DN	0.334465122	1.22E-05	NaN	113.0202453	0.023764686	1	28
7	4	dDNb	4.62E-07	0.001185931	0.748763053	95.68307455	0.016607949	2	19
7	5	dDNd	1.96E-06	0.001894585	0.759601808	95.83802502	0.017667462	1	22
8	1	McFadden	0.857438177	NaN	NaN	138.9163503	0.022451915	2	18
8	2	LinearDistrb	0.768049002	NaN	0.934078979	137.411709	0.021761231	2	23
8	3	DN	3.09E-11	0.132137438	NaN	130.7863466	0.024988869	1	25
8	4	dDNb	4.89E-06	0.131962466	0.133457828	130.7564716	0.032856558	2	17
8	5	dDNd	9.31E-08	0.132275125	0.152716564	130.7754112	0.026861077	2	33
9	1	McFadden	0.449229625	NaN	NaN	104.5983905	0.020986744	1	24
9	2	LinearDistrb	0.453155518	NaN	4.88E-05	104.6259599	0.020932259	2	13
9	3	DN	0.45072084	0	NaN	104.6089671	0.016420161	1	19
9	4	dDNb	0.447382264	0	1.19E-08	104.6378933	0.017119933	2	20
9	5	dDNd	0.450662647	0	0.000309056	104.6139851	0.013049355	1	31
10	1	McFadden	0.53361988	NaN	NaN	150.2100686	0.022184535	1	20
10	2	LinearDistrb	0.535056357	NaN	9.07E-06	150.17085	0.017755927	1	22
10	3	DN	0.538647175	0	NaN	150.1819299	0.022026695	2	18
10	4	dDNb	0.537336078	0	0.022139793	150.1499512	0.021833214	2	25
10	5	dDNd	0.53543305	0	0.002391406	150.1489821	0.020490314	1	19
11	1	McFadden	0.136016928	NaN	NaN	159.7807077	0.021274385	1	20
11	2	LinearDistrb	4.89E-06	NaN	1.025184178	155.0462795	0.023890981	2	22
11	3	DN	0.131393433	0	NaN	159.7220045	0.025349306	2	23
11	4	dDNb	0.00015831	0	1.020410919	155.0686444	0.022596474	2	17
11	5	dDNd	0.000188828	0	1.035422933	155.0674739	0.017889597	1	38
12	1	McFadden	0.4537118	NaN	NaN	162.83605	0.024850818	1	21
12	2	LinearDistrb	0.326306262	NaN	1.237496979	157.1848063	0.04036479	1	32
12	3	DN	0.46367085	0	NaN	162.8305695	0.019871242	2	19
12	4	dDNb	1.94E-06	0.026377606	1.090955698	156.6620503	0.049393934	1	21
12	5	dDNd	0.002990723	0.027130127	1.071820068	156.7317374	0.05084484	1	21
13	1	McFadden	0.465090719	NaN	NaN	162.8555739	0.019198463	1	25
13	2	LinearDistrb	0.124574295	NaN	2.526035253	158.7160219	0.016854986	1	18
13	3	DN	0.564563751	0	NaN	161.9948222	0.0201447	2	23
13	4	dDNb	0.184931888	0.000940034	2.3569246	158.750942	0.015480737	2	16
13	5	dDNd	0.137246122	0.000178143	2.536122749	158.674101	0.023659299	1	24
14	1	McFadden	2.354973679	NaN	NaN	265.7955412	0.02560209	2	22
14	2	LinearDistrb	2.385993958	NaN	7.63E-07	265.7906777	0.031315063	2	16
14	3	DN	2.559526443	0	NaN	265.8117222	0.032205874	2	11
14	4	dDNb	2.544467449	0.000174904	1.19E-07	265.8247133	0.026327405	2	17
14	5	dDNd	2.343703553	0	5.20E-07	265.8686573	0.033328378	2	21
15	1	McFadden	0.686599433	NaN	NaN	153.4959459	0.021635317	2	21
15	2	LinearDistrb	0.700628728	NaN	0.095666629	153.4674096	0.023853073	2	18
15	3	DN	4.89E-06	0.089937139	NaN	152.3115691	0.024035075	1	22
15	4	dDNb	0.000724792	0.088931274	7.63E-06	152.3306118	0.024147391	2	21
15	5	dDNd	0.001898377	0.089642059	3.43E-06	152.2964134	0.022517483	2	22
16	1	McFadden	1.058571693	NaN	NaN	106.3101138	0.017730082	2	13
16	2	LinearDistrb	0.714645845	NaN	1.150571056	104.1531464	0.021250958	1	27
16	3	DN	1.083405703	0	NaN	106.3056856	0.018772356	2	22
16	4	dDNb	3.09E-11	0.087576312	1.075126985	103.7750042	0.019843044	1	26
16	5	dDNd	0.133949611	0.075419653	1.057978046	103.984002	0.025514389	1	23
17	1	McFadden	5.350585938	NaN	NaN	261.5221656	0.02754681	1	20
17	2	LinearDistrb	2.270809174	NaN	0.157040024	255.0811419	0.027618291	1	23
17	3	DN	0.009033203	0.249511719	NaN	253.5771306	0.024507282	2	11
17	4	dDNb	5.71E-06	0.244137032	2.87E-05	253.6023885	0.023989285	1	22
17	5	dDNd	0.000591117	0.247124015	0.276681993	253.5584449	0.025525065	1	26
18	1	McFadden	3.3203125	NaN	NaN	244.4150316	0.031985407	2	13
18	2	LinearDistrb	0.000724792	NaN	2.793144226	203.6080258	0.02358592	2	14
18	3	DN	4.89E-06	0.183141708	NaN	213.5899219	0.021313129	1	22
18	4	dDNb	9.31E-08	0.001954048	2.366447499	201.2299276	0.026596519	2	23
18	5	dDNd	0.004483077	0.005921716	2.366007629	201.5397736	0.027121512	1	34
19	1	McFadden	0.541081049	NaN	NaN	115.0774853	0.018156472	1	21
