subID	Model	randi	Mp0	wp0	scl0	Mp	wp	scl	nll	nllsd	success	iterations
1	1	27	93.777266	NaN	NaN	10.590172	NaN	NaN	243.814936	0.026973	2	12
1	1	4	33.087689	NaN	NaN	4.430241	NaN	NaN	208.87441	0.030237	2	14
1	1	30	16.186423	NaN	NaN	10.444491	NaN	NaN	243.382282	0.0269	2	13
1	1	34	45.848155	NaN	NaN	0.567963	NaN	NaN	104.766237	0.03027	2	14
1	1	18	61.581261	NaN	NaN	7.696201	NaN	NaN	233.481101	0.023745	2	14
1	1	40	43.672536	NaN	NaN	7.929214	NaN	NaN	234.588657	0.03034	2	12
1	1	38	15.564517	NaN	NaN	7.028507	NaN	NaN	230.056666	0.019075	2	14
1	1	25	80.065757	NaN	NaN	4.452333	NaN	NaN	209.205067	0.02434	2	14
1	1	28	15.136942	NaN	NaN	11.538086	NaN	NaN	246.148507	0.028096	2	12
1	1	32	33.57238	NaN	NaN	8.113132	NaN	NaN	235.379358	0.024387	2	13
1	1	21	6.163209	NaN	NaN	8.791401	NaN	NaN	238.062576	0.022495	2	14
1	1	16	61.457379	NaN	NaN	8.127106	NaN	NaN	235.394061	0.028028	2	14
1	1	8	81.43465	NaN	NaN	14.955109	NaN	NaN	252.254408	0.026827	2	12
1	1	14	3.45728	NaN	NaN	13.52002	NaN	NaN	250.053449	0.024521	2	10
1	1	2	64.196253	NaN	NaN	6.953543	NaN	NaN	229.634609	0.023497	2	14
1	1	26	12.023204	NaN	NaN	6.130821	NaN	NaN	224.445872	0.021241	2	12
1	1	20	15.320793	NaN	NaN	8.160906	NaN	NaN	235.566983	0.022984	2	14
1	1	22	99.081984	NaN	NaN	8.987404	NaN	NaN	238.846419	0.028867	2	14
1	1	35	93.038656	NaN	NaN	0.509461	NaN	NaN	104.442914	0.037549	1	18
1	1	12	62.803264	NaN	NaN	0.526377	NaN	NaN	104.36376	0.032482	1	20
1	1	37	33.635947	NaN	NaN	0.511668	NaN	NaN	104.332763	0.032208	1	19
1	1	5	47.692246	NaN	NaN	0.532463	NaN	NaN	104.395527	0.036753	2	14
1	1	36	37.699981	NaN	NaN	0.531	NaN	NaN	104.332246	0.025566	2	19
1	1	13	62.011799	NaN	NaN	0.522175	NaN	NaN	104.40987	0.035012	2	21
1	1	29	11.048192	NaN	NaN	0.51349	NaN	NaN	104.310173	0.030393	2	18
1	1	24	37.761855	NaN	NaN	0.51882	NaN	NaN	104.37305	0.039891	2	16
1	1	9	22.781782	NaN	NaN	0.530622	NaN	NaN	104.358561	0.029243	2	17
1	1	1	14.35095	NaN	NaN	0.530197	NaN	NaN	104.391944	0.033198	2	14
1	1	33	63.052793	NaN	NaN	0.544424	NaN	NaN	104.478844	0.032817	2	16
1	1	39	23.252985	NaN	NaN	0.502259	NaN	NaN	104.373132	0.049073	1	21
1	1	10	31.289195	NaN	NaN	0.518661	NaN	NaN	104.335365	0.03599	2	23
1	1	11	1.048702	NaN	NaN	0.447526	NaN	NaN	105.491249	0.098715	1	19
1	1	19	42.03463	NaN	NaN	0.513484	NaN	NaN	104.393747	0.042538	1	26
1	1	23	5.14458	NaN	NaN	0.531024	NaN	NaN	104.454925	0.032456	1	20
1	1	7	86.225074	NaN	NaN	0.508134	NaN	NaN	104.384026	0.043733	2	22
1	1	17	34.202722	NaN	NaN	0.545961	NaN	NaN	104.504763	0.029339	1	22
1	1	3	97.327097	NaN	NaN	0.512335	NaN	NaN	104.378245	0.037258	1	24
1	1	31	53.960844	NaN	NaN	0.559678	NaN	NaN	104.619514	0.030506	1	21
1	1	15	2.730127	NaN	NaN	0.529754	NaN	NaN	104.444147	0.050347	1	19
1	1	6	86.681705	NaN	NaN	0.532226	NaN	NaN	104.35689	0.034201	1	21
1	2	1	68.918391	NaN	1.73764	0.51207	NaN	0.000008	104.41456	0.048362	2	17
1	2	19	49.32597	NaN	1.923085	0.392459	NaN	0.70171	99.529558	0.029214	2	17
1	2	10	95.852076	NaN	1.062697	1.447144	NaN	0.000049	139.83194	0.019553	2	13
1	2	20	18.363487	NaN	0.548497	0.555878	NaN	0.000049	104.577973	0.031056	2	13
1	2	35	7.047774	NaN	0.873033	0.327076	NaN	0.77264	99.070011	0.032582	2	21
1	2	4	4.724003	NaN	1.824375	0.291721	NaN	2.156195	116.952972	0.019578	1	20
1	2	2	39.172535	NaN	1.878249	0.690323	NaN	0.688068	109.059519	0.020986	2	15
1	2	33	60.025996	NaN	1.293651	0.525854	NaN	0.000001	104.413152	0.035	2	15
1	2	27	37.432801	NaN	0.531916	0.380501	NaN	0.374396	102.486	0.077815	1	20
1	2	15	41.140005	NaN	1.401799	0.480347	NaN	0.604846	101.367892	0.02672	2	15
1	2	7	69.065555	NaN	1.016355	0.355449	NaN	0.722334	99.12695	0.035315	1	19
1	2	9	14.682325	NaN	1.350538	0.549624	NaN	0.000506	104.518798	0.032485	2	22
1	2	24	47.858229	NaN	0.223196	0.303132	NaN	0.662608	99.410821	0.050588	1	19
1	2	30	81.279081	NaN	0.927629	0.52578	NaN	0.000002	104.338737	0.034768	1	22
