subID	modeli	name	Mp	wp	scl	nll	nllsd	success	iterations
1	1	McFadden	0.513490334153175	NaN	NaN	104.310172805568	0.0303931339765877	2	18
1	2	LinearDistrb	0.326935584350565	NaN	0.76253156164845	98.9654241266777	0.0326352460997911	1	21
1	3	DN	0.516213678535387	2.36768494588091e-07	NaN	104.322740355332	0.0363821617482457	1	23
1	4	dDNb	0.322760967770591	0	0.730336802522652	99.0190758407078	0.0373502863771938	2	24
1	5	dDNd	0.325192214222625	0	0.769793133134954	98.9934152743942	0.0379072586566797	1	19
2	1	McFadden	0.210445592179894	NaN	NaN	40.396439698176	0.0167877653424516	1	18
2	2	LinearDistrb	0.208246231079102	NaN	0.0328498840332032	40.3965400781687	0.0206986608654604	2	20
2	3	DN	0.211668787205099	0	NaN	40.3930864783189	0.02631948690442	1	17
2	4	dDNb	0.210719529801281	0	0.0137179629469757	40.4109884403936	0.0282263168074801	1	21
2	5	dDNd	0.211908968584154	0	3.60667913461565e-05	40.395059457327	0.0191559785418483	1	28
3	1	McFadden	0.18533543146259	NaN	NaN	15.9091476563823	0.0091920867187588	1	19
3	2	LinearDistrb	0.00072479248046875	NaN	0.653694152832031	14.9495834526048	0.00845377436199786	2	12
3	3	DN	0.185327331297572	4.96938162064531e-07	NaN	15.9056001553058	0.00749696349435755	1	19
3	4	dDNb	0.00299072265625	0	0.658953857421875	14.9594122024455	0.00799023008655376	1	19
3	5	dDNd	0.000158309936523438	0	0.644623565673828	14.9494905671773	0.00829659997915426	2	19
4	1	McFadden	0.785857796669006	NaN	NaN	185.628216598455	0.0233800745067784	2	17
4	2	LinearDistrb	0.703014024211896	NaN	0.350599158378672	185.004389991866	0.025923755991997	1	29
4	3	DN	0.871363837271929	0	NaN	185.693746284478	0.0213564652000663	1	22
4	4	dDNb	0.721145035877271	2.13623046875222e-05	0.319294500253818	184.99994142446	0.0237697197493698	1	22
4	5	dDNd	0.723503410816193	0	0.335938429832459	185.021679945964	0.0218248033532596	2	30
5	1	McFadden	0.284037223484866	NaN	NaN	53.4336174765607	0.017294665297511	1	20
5	2	LinearDistrb	0.209241263568401	NaN	0.798148193955422	51.3352766712378	0.0168268489302117	2	21
5	3	DN	0.283200411007329	0	NaN	53.4351015018291	0.0237570222945691	1	18
5	4	dDNb	0.205224990844727	0	0.787274169921875	51.3390846887204	0.0172712821682347	2	19
5	5	dDNd	0.205835729837418	0	0.795414191484451	51.338995115978	0.0170126668145962	2	18
6	1	McFadden	0.398987703156308	NaN	NaN	140.281280334949	0.019715564816854	2	20
