subID	Model	randi	Mp0	delta0	wp0	Mp	delta	wp	nll	nllsd	success	iterations
1.000000	1.000000	39.000000	23.252985	-0.039906	NaN	1.833862	-0.071765	NaN	251.415775	0.089613	2.000000	11.000000
1.000000	1.000000	28.000000	15.136942	0.010404	NaN	8.202637	-0.047705	NaN	314.390741	0.032014	2.000000	11.000000
1.000000	1.000000	22.000000	99.081984	0.028377	NaN	2.419983	-0.237054	NaN	248.189845	0.036481	2.000000	11.000000
1.000000	1.000000	36.000000	37.699981	-0.044902	NaN	14.051758	-0.038770	NaN	341.607131	0.030143	2.000000	12.000000
1.000000	1.000000	37.000000	33.635947	0.076646	NaN	11.006348	-0.068506	NaN	329.573690	0.030920	2.000000	11.000000
1.000000	1.000000	40.000000	43.672536	0.179585	NaN	12.939941	-0.096191	NaN	336.413842	0.024083	2.000000	12.000000
1.000000	1.000000	34.000000	45.848155	0.187630	NaN	13.665039	-0.119043	NaN	338.276685	0.032452	2.000000	12.000000
1.000000	1.000000	6.000000	86.681705	-0.056874	NaN	5.205566	0.390283	NaN	299.910545	0.027903	2.000000	11.000000
1.000000	1.000000	10.000000	31.289195	0.010978	NaN	6.462402	-0.045801	NaN	300.240376	0.024542	2.000000	12.000000
1.000000	1.000000	25.000000	80.065757	0.072673	NaN	2.390620	-0.282161	NaN	248.076271	0.042193	2.000000	11.000000
1.000000	1.000000	2.000000	64.196253	0.055839	NaN	8.112755	-0.224315	NaN	306.956080	0.028938	2.000000	11.000000
1.000000	1.000000	3.000000	97.327097	0.113131	NaN	45.013428	-0.789648	NaN	347.272718	0.033841	2.000000	13.000000
1.000000	1.000000	8.000000	81.434650	0.025255	NaN	6.915588	-0.620505	NaN	273.876133	0.026677	2.000000	11.000000
1.000000	1.000000	11.000000	1.048702	0.182103	NaN	2.659416	-0.327106	NaN	248.197466	0.040037	2.000000	11.000000
1.000000	1.000000	18.000000	61.581261	0.178436	NaN	2.435417	-0.319312	NaN	247.953535	0.046369	2.000000	11.000000
1.000000	1.000000	35.000000	93.038656	-0.008977	NaN	10.184570	-0.710254	NaN	286.753026	0.026409	2.000000	14.000000
1.000000	1.000000	23.000000	5.144580	-0.083799	NaN	2.981178	0.344427	NaN	267.796720	0.028379	2.000000	15.000000
1.000000	1.000000	7.000000	86.225074	0.107723	NaN	1.952918	-0.060809	NaN	250.269576	0.049793	2.000000	11.000000
1.000000	1.000000	9.000000	22.781782	0.087344	NaN	3.861115	-0.561625	NaN	253.324076	0.036820	2.000000	11.000000
1.000000	1.000000	19.000000	42.034630	-0.055948	NaN	2.285125	-0.068917	NaN	249.835760	0.037562	2.000000	11.000000
1.000000	1.000000	12.000000	62.803264	-0.084362	NaN	2.784042	-0.410366	NaN	248.470948	0.044786	2.000000	11.000000
1.000000	1.000000	30.000000	16.186423	0.024396	NaN	13.048706	-0.649481	NaN	306.604754	0.025028	2.000000	14.000000
1.000000	1.000000	26.000000	12.023204	-0.088557	NaN	2.443398	-0.335989	NaN	247.967272	0.038926	2.000000	11.000000
1.000000	1.000000	1.000000	14.350950	0.102315	NaN	3.018236	-0.291371	NaN	250.909135	0.027601	2.000000	11.000000
1.000000	1.000000	32.000000	33.572380	0.147195	NaN	2.481983	-0.306122	NaN	247.890186	0.045778	2.000000	11.000000
1.000000	1.000000	5.000000	47.692246	0.070224	NaN	12.408203	-0.080957	NaN	334.950477	0.025879	2.000000	12.000000
1.000000	1.000000	13.000000	62.011799	0.058309	NaN	2.720596	-0.399982	NaN	248.334523	0.033660	2.000000	11.000000
1.000000	1.000000	33.000000	63.052793	0.042652	NaN	3.201210	-0.546554	NaN	251.146260	0.060221	2.000000	11.000000
1.000000	1.000000	17.000000	34.202722	0.022752	NaN	3.328900	-0.543611	NaN	251.119355	0.045617	2.000000	11.000000
1.000000	1.000000	38.000000	15.564517	0.189803	NaN	36.267693	-0.892771	NaN	315.478392	0.024910	2.000000	15.000000
1.000000	1.000000	4.000000	33.087689	-0.097648	NaN	2.430539	-0.291809	NaN	247.980950	0.046209	2.000000	16.000000
1.000000	1.000000	20.000000	15.320793	-0.055520	NaN	4.969910	-0.653812	NaN	259.308794	0.036697	1.000000	21.000000
1.000000	1.000000	24.000000	37.761855	0.196771	NaN	5.388024	-0.758299	NaN	264.874582	0.085842	2.000000	20.000000
1.000000	1.000000	31.000000	53.960844	-0.048693	NaN	6.812866	-0.719226	NaN	268.150583	0.037369	1.000000	24.000000
1.000000	1.000000	21.000000	6.163209	-0.082269	NaN	2.200931	-0.179071	NaN	248.472217	0.046451	1.000000	31.000000
1.000000	1.000000	15.000000	2.730127	-0.031483	NaN	2.486929	-0.323615	NaN	247.872409	0.033890	1.000000	25.000000
1.000000	1.000000	16.000000	61.457379	0.092340	NaN	6.819441	-0.708413	NaN	268.504470	0.031324	2.000000	28.000000
1.000000	1.000000	29.000000	11.048192	-0.097765	NaN	2.559273	-0.335064	NaN	248.060730	0.043113	2.000000	29.000000
1.000000	1.000000	27.000000	93.777266	0.118768	NaN	2.987489	-0.478411	NaN	249.471065	0.043749	1.000000	34.000000
1.000000	1.000000	14.000000	3.457280	-0.069191	NaN	4.537852	-0.685333	NaN	258.460422	0.041870	2.000000	26.000000
1.000000	2.000000	23.000000	18.321916	-0.052282	NaN	2.111816	-0.330566	NaN	246.119718	0.056220	2.000000	12.000000
1.000000	2.000000	14.000000	48.144498	-0.013913	NaN	2.203209	-0.423773	NaN	245.723766	0.049628	2.000000	13.000000
1.000000	2.000000	18.000000	33.164515	0.185519	NaN	2.426025	-0.437656	NaN	246.002179	0.037803	2.000000	14.000000
