subID	TimeConstraint	modeli	name	scl	eta	Mp	wp	nll	nllsd	success	iterations
1	10	1	dDNb	1	0.0911670207977295	1	1	114.688083365751	0.146480038145884	2	13
1	10	2	dDNd	1	0.10230712890625	1	1	115.369427587078	0.110815081432145	2	12
1	1.5	1	dDNb	1	0.15742244720459	1	1	136.711459466213	0.10373488355594	2	11
1	1.5	2	dDNd	1	0.163809752464294	1	1	135.834918896416	0.0790510449744165	2	12
2	10	1	dDNb	1	0.392787933349609	1	1	177.912952654098	0.0585880440592666	2	10
2	10	2	dDNd	1	0.428996981337696	1	1	177.99329046722	0.0761465143984785	1	18
2	1.5	1	dDNb	1	0.383210669414984	1	1	174.013633424021	0.0632854545908877	1	19
2	1.5	2	dDNd	1	0.38604907989502	1	1	173.981967544492	0.0694513175175932	2	9
3	10	1	dDNb	1	0.124938821792603	1	1	87.8227056073619	0.0611966329827115	2	13
3	10	2	dDNd	1	0.121930019464344	1	1	90.607001253927	0.0568117957571445	2	11
3	1.5	1	dDNb	1	0.1828369140625	1	1	100.828483126973	0.087269239681204	2	14
3	1.5	2	dDNd	1	0.188284623622894	1	1	102.089680011981	0.0971399354923501	2	12
4	10	1	dDNb	1	0.0881484985351562	1	1	47.2968680591842	0.0425131759181876	2	12
4	10	2	dDNd	1	0.079537763854023	1	1	46.7073716786781	0.0448300813929475	2	15
4	1.5	1	dDNb	1	0.165377807617187	1	1	79.4642489941771	0.0696946857511522	2	11
4	1.5	2	dDNd	1	0.1630615234375	1	1	79.6240209603716	0.0767984217571666	2	10
5	10	1	dDNb	1	6.10351562499722e-05	1	1	59.1883057771007	0.0395914886320134	2	10
5	10	2	dDNd	1	9.76562499999667e-05	1	1	63.5512632958313	0.0400124670887064	2	11
5	1.5	1	dDNb	1	0.0857968119904399	1	1	88.7520703627487	0.0936768773947379	1	21
5	1.5	2	dDNd	1	0.078045654296875	1	1	89.568920777847	0.105098333324302	1	21
6	10	1	dDNb	1	0.139034305140376	1	1	96.7880902923748	0.0608145481105452	2	18
