subID	modeli	eta	Mp	wp	nll
1	1	2.73E+00	NaN	NaN	2.51E+02
1	2	2.73E+00	NaN	NaN	2.49E+02
1	3	1	8.89E+00	-4.30E-01	2.42E+02
1	4	1	7.02E+00	-3.29E-01	2.45E+02
1	5	1	7.02E+00	-3.29E-01	2.41E+02
1	6	1	7.02E+00	-3.29E-01	2.45E+02
1	7	1	7.02E+00	-3.29E-01	2.41E+02
2	1	7.44E+01	NaN	NaN	3.49E+02
2	2	7.44E+01	NaN	NaN	3.49E+02
2	3	1	3.07E+02	-1.39E+00	3.40E+02
2	4	1	3.07E+02	-1.39E+00	3.39E+02
2	5	1	3.07E+02	-1.39E+00	3.42E+02
2	6	1	3.07E+02	-1.39E+00	3.39E+02
2	7	1	2.42E+02	-1.04E+00	3.42E+02
3	1	7.02E+00	NaN	NaN	1.85E+02
3	2	7.02E+00	NaN	NaN	1.92E+02
3	3	1	1.70E+00	2.28E-01	1.80E+02
3	4	1	-2.73E+00	3.29E-01	1.90E+02
3	5	1	-1.06E+00	2.78E-01	1.88E+02
3	6	1	5.54E+00	7.59E-02	1.92E+02
3	7	1	-1.34E+00	2.78E-01	1.88E+02
4	1	1.13E+01	NaN	NaN	1.26E+02
4	2	8.89E+00	NaN	NaN	1.25E+02
4	3	1	1.13E+01	-2.53E-02	1.25E+02
4	4	1	1.13E+01	-2.53E-02	1.25E+02
4	5	1	1.13E+01	-2.53E-02	1.25E+02
4	6	1	1.13E+01	-2.53E-02	1.25E+02
4	7	1	1.13E+01	-2.53E-02	1.25E+02
5	1	5.54E+00	NaN	NaN	1.53E+02
5	2	4.38E+00	NaN	NaN	1.52E+02
5	3	1	1.43E+01	-1.27E-01	1.48E+02
5	4	1	-1.06E+00	2.53E-02	1.44E+02
5	5	1	-8.38E-01	2.53E-02	1.44E+02
5	6	1	-1.06E+00	2.53E-02	1.44E+02
5	7	1	-8.38E-01	2.53E-02	1.43E+02
6	1	3.67E+01	NaN	NaN	2.49E+02
6	2	3.67E+01	NaN	NaN	2.48E+02
6	3	1	-1.13E+01	3.80E-01	2.38E+02
6	4	1	-1.80E+01	4.30E-01	2.36E+02
6	5	1	-2.29E+01	4.81E-01	2.37E+02
6	6	1	-1.80E+01	4.30E-01	2.36E+02
6	7	1	-1.80E+01	4.30E-01	2.37E+02
7	1	5.88E+01	NaN	NaN	2.86E+02
7	2	5.88E+01	NaN	NaN	2.87E+02
7	3	1	9.43E+01	-2.28E-01	2.85E+02
7	4	1	-1.19E+02	9.87E-01	2.70E+02
7	5	1	-1.19E+02	9.87E-01	2.71E+02
7	6	1	-1.19E+02	9.87E-01	2.71E+02
