subID	Model	randi	eta0	Mp0	wp0	eta	Mp	wp	nll	nllsd	success	iterations
1.000000	1.000000	33.000000	63.202075	NaN	NaN	8.043945	NaN	NaN	294.024287	0.021748	2.000000	9.000000
1.000000	1.000000	30.000000	16.525064	NaN	NaN	6.599609	NaN	NaN	281.783239	0.026130	2.000000	9.000000
1.000000	1.000000	9.000000	23.093774	NaN	NaN	7.947656	NaN	NaN	293.253381	0.031751	2.000000	9.000000
1.000000	1.000000	22.000000	99.085693	NaN	NaN	5.444141	NaN	NaN	270.577268	0.024752	2.000000	9.000000
1.000000	1.000000	7.000000	86.280730	NaN	NaN	8.429102	NaN	NaN	296.846104	0.029932	2.000000	9.000000
1.000000	1.000000	37.000000	33.904084	NaN	NaN	5.925586	NaN	NaN	275.413323	0.020510	2.000000	9.000000
1.000000	1.000000	23.000000	5.527834	NaN	NaN	5.540430	NaN	NaN	271.591768	0.026298	2.000000	9.000000
1.000000	1.000000	27.000000	93.802408	NaN	NaN	5.251563	NaN	NaN	268.693513	0.027592	2.000000	9.000000
1.000000	1.000000	10.000000	31.566815	NaN	NaN	2.893045	NaN	NaN	250.268608	0.051463	2.000000	9.000000
1.000000	1.000000	28.000000	15.479823	NaN	NaN	5.733008	NaN	NaN	273.503542	0.025981	2.000000	9.000000
1.000000	1.000000	20.000000	15.662932	NaN	NaN	5.251563	NaN	NaN	268.614051	0.030485	2.000000	10.000000
1.000000	1.000000	17.000000	34.468570	NaN	NaN	2.852270	NaN	NaN	250.392096	0.060757	2.000000	9.000000
1.000000	1.000000	39.000000	23.563074	NaN	NaN	4.962695	NaN	NaN	265.677537	0.024392	2.000000	9.000000
1.000000	1.000000	18.000000	61.736488	NaN	NaN	2.736011	NaN	NaN	250.679410	0.069420	2.000000	11.000000
1.000000	1.000000	8.000000	81.509661	NaN	NaN	2.897593	NaN	NaN	250.294196	0.049407	2.000000	9.000000
1.000000	1.000000	21.000000	6.542348	NaN	NaN	3.094086	NaN	NaN	250.499456	0.039580	2.000000	11.000000
1.000000	1.000000	29.000000	11.407593	NaN	NaN	5.925586	NaN	NaN	275.357599	0.033311	2.000000	10.000000
1.000000	1.000000	34.000000	46.066950	NaN	NaN	8.621680	NaN	NaN	298.255130	0.034094	2.000000	9.000000
1.000000	1.000000	36.000000	37.951699	NaN	NaN	4.709937	NaN	NaN	263.147006	0.024847	2.000000	9.000000
1.000000	1.000000	5.000000	47.903590	NaN	NaN	3.407777	NaN	NaN	251.789161	0.033943	2.000000	12.000000
1.000000	1.000000	4.000000	33.358042	NaN	NaN	4.854370	NaN	NaN	264.529170	0.022097	2.000000	10.000000
1.000000	1.000000	31.000000	54.146861	NaN	NaN	2.949652	NaN	NaN	250.333136	0.050576	2.000000	11.000000
1.000000	1.000000	25.000000	80.146299	NaN	NaN	2.940437	NaN	NaN	250.269142	0.050953	2.000000	13.000000
