subID	Model	eta	Mp	wp	nll
1	1	3.076923e+00	NaN	NaN	2.499915e+02
1	2	2.256410e+00	NaN	NaN	2.487827e+02
1	3	1	7.589744e+00	-3.421053e-01	2.413623e+02
1	4	1	6.358974e+00	-2.894737e-01	2.450870e+02
1	5	1	7.179487e+00	-3.421053e-01	2.410637e+02
1	6	1	5.948718e+00	-2.894737e-01	2.445639e+02
1	7	1	7.179487e+00	-3.421053e-01	2.406790e+02
2	1	8	NaN	NaN	2.881182e+03
2	2	8	NaN	NaN	1.795527e+03
2	3	1	5.948718e+00	5.000000e-01	3.524013e+02
2	4	1	8	5.000000e-01	3.534938e+02
2	5	1	5.538462e+00	5.000000e-01	3.515394e+02
2	6	1	7.589744e+00	5.000000e-01	3.535064e+02
2	7	1	6.769231e+00	5.000000e-01	3.517225e+02
3	1	8	NaN	NaN	1.839634e+02
3	2	6.769231e+00	NaN	NaN	1.917880e+02
3	3	1	2.666667e+00	1.842105e-01	1.801405e+02
3	4	1	-2.666667e+00	3.421053e-01	1.903012e+02
3	5	1	-1.846154e+00	2.894737e-01	1.884432e+02
3	6	1	3.897436e+00	1.315789e-01	1.913443e+02
3	7	1	-1.025641e+00	2.368421e-01	1.881614e+02
4	1	8	NaN	NaN	1.295407e+02
4	2	8	NaN	NaN	1.260761e+02
4	3	1	8	2.631579e-02	1.260199e+02
4	4	1	8	2.631579e-02	1.250719e+02
4	5	1	7.589744e+00	2.631579e-02	1.253549e+02
4	6	1	7.589744e+00	2.631579e-02	1.256988e+02
4	7	1	7.589744e+00	2.631579e-02	1.254799e+02
5	1	6.358974e+00	NaN	NaN	1.518654e+02
5	2	3.897436e+00	NaN	NaN	1.504687e+02
5	3	1	8	-2.631579e-02	1.508247e+02
5	4	1	-1.025641e+00	2.631579e-02	1.428565e+02
5	5	1	-1.025641e+00	2.631579e-02	1.429190e+02
5	6	1	-1.025641e+00	2.631579e-02	1.422853e+02
5	7	1	-1.025641e+00	2.631579e-02	1.429700e+02
6	1	8	NaN	NaN	1.167205e+03
6	2	8	NaN	NaN	8.444079e+02
6	3	1	-6.769231e+00	3.421053e-01	2.381120e+02
6	4	1	-7.589744e+00	3.421053e-01	2.363167e+02
6	5	1	-8	3.421053e-01	2.373339e+02
6	6	1	-7.589744e+00	3.421053e-01	2.364181e+02
6	7	1	-7.179487e+00	3.421053e-01	2.372793e+02
7	1	8	NaN	NaN	2.075787e+03
7	2	7.589744e+00	NaN	NaN	1.114941e+03
7	3	1	5.538462e+00	3.421053e-01	2.899180e+02
7	4	1	8	3.421053e-01	2.902228e+02
7	5	1	7.179487e+00	3.421053e-01	2.905169e+02
7	6	1	6.769231e+00	3.421053e-01	2.902692e+02
7	7	1	6.769231e+00	3.421053e-01	2.904859e+02
8	1	8	NaN	NaN	1.878294e+02
8	2	8	NaN	NaN	1.818600e+02
8	3	1	7.179487e+00	7.894737e-02	1.637535e+02
8	4	1	6.769231e+00	7.894737e-02	1.631705e+02
8	5	1	6.358974e+00	7.894737e-02	1.626939e+02
8	6	1	7.179487e+00	7.894737e-02	1.648193e+02
8	7	1	7.179487e+00	7.894737e-02	1.645490e+02
9	1	8	NaN	NaN	1.901703e+02
9	2	5.948718e+00	NaN	NaN	1.844285e+02
9	3	1	6.153846e-01	1.315789e-01	1.871987e+02
9	4	1	-5.948718e+00	1.842105e-01	1.722730e+02
9	5	1	-7.589744e+00	2.368421e-01	1.705227e+02
9	6	1	-7.589744e+00	2.368421e-01	1.714565e+02
9	7	1	-7.589744e+00	2.368421e-01	1.706960e+02
10	1	8	NaN	NaN	5.094311e+02
10	2	8	NaN	NaN	4.631523e+02
10	3	1	6.358974e+00	5.000000e-01	3.533142e+02
10	4	1	6.358974e+00	5.000000e-01	3.529659e+02
10	5	1	8	5.000000e-01	3.547865e+02
10	6	1	7.179487e+00	5.000000e-01	3.526808e+02
10	7	1	6.358974e+00	5.000000e-01	3.546075e+02
11	1	-8	NaN	NaN	1.115157e+03
11	2	-8	NaN	NaN	1.114275e+03
11	3	1	8	5.000000e-01	4.238615e+02
11	4	1	8	5.000000e-01	4.237194e+02
11	5	1	8	5.000000e-01	4.290112e+02
11	6	1	8	5.000000e-01	4.191092e+02
11	7	1	8	5.000000e-01	4.261467e+02
12	1	8	NaN	NaN	3.105338e+03
12	2	8	NaN	NaN	2.383219e+03
12	3	1	6.769231e+00	5.000000e-01	3.707629e+02
12	4	1	6.769231e+00	5.000000e-01	3.715561e+02
12	5	1	8	5.000000e-01	3.702739e+02
12	6	1	6.769231e+00	5.000000e-01	3.713515e+02
12	7	1	6.358974e+00	5.000000e-01	3.702648e+02
13	1	8	NaN	NaN	5.108296e+03
13	2	8	NaN	NaN	4.385699e+03
13	3	1	8	5.000000e-01	3.681826e+02
13	4	1	8	5.000000e-01	3.686791e+02
13	5	1	8	5.000000e-01	3.683236e+02
13	6	1	8	5.000000e-01	3.684585e+02
13	7	1	8	5.000000e-01	3.685263e+02
14	1	8	NaN	NaN	1.751877e+02
14	2	8	NaN	NaN	1.711951e+02
14	3	1	8	2.631579e-02	1.705340e+02
14	4	1	8	2.631579e-02	1.707441e+02
14	5	1	7.179487e+00	2.631579e-02	1.709114e+02
14	6	1	8	2.631579e-02	1.708549e+02
14	7	1	8	2.631579e-02	1.706794e+02
15	1	8	NaN	NaN	4.332631e+02
15	2	8	NaN	NaN	3.898418e+02
15	3	1	-1.846154e+00	5.000000e-01	3.211576e+02
15	4	1	-1.846154e+00	5.000000e-01	3.190723e+02
15	5	1	-1.025641e+00	5.000000e-01	3.214160e+02
15	6	1	-2.666667e+00	5.000000e-01	3.191421e+02
15	7	1	-1.846154e+00	5.000000e-01	3.216483e+02
16	1	8	NaN	NaN	3.585491e+02
16	2	8	NaN	NaN	3.491609e+02
16	3	1	8	1.842105e-01	3.356195e+02
16	4	1	7.589744e+00	1.842105e-01	3.375658e+02
16	5	1	8	1.842105e-01	3.357280e+02
16	6	1	8	1.315789e-01	3.375673e+02
