subID	Model	eta	Mp	wp	nll
1	1	2.616505e+00	NaN	NaN	2.506294e+02
1	2	2.616505e+00	NaN	NaN	2.490951e+02
1	3	1	2.940048e+00	0	2.507074e+02
1	4	1	2.616505e+00	0	2.484395e+02
1	5	1	2.328566e+00	0	2.491270e+02
1	6	1	2.616505e+00	0	2.487347e+02
1	7	1	2.616505e+00	0	2.490699e+02
2	1	7.692650e+01	NaN	NaN	3.491787e+02
2	2	7.692650e+01	NaN	NaN	3.483370e+02
2	3	1	8.643883e+01	2.531646e-02	3.490467e+02
2	4	1	7.692650e+01	2.531646e-02	3.484848e+02
2	5	1	7.692650e+01	2.531646e-02	3.483260e+02
2	6	1	7.692650e+01	0	3.485569e+02
2	7	1	7.692650e+01	0	3.482641e+02
3	1	7.471671e+00	NaN	NaN	1.838963e+02
3	2	7.471671e+00	NaN	NaN	1.916037e+02
3	3	1	2.072315e+00	2.025316e-01	1.800876e+02
3	4	1	4.686904e+00	7.594937e-02	1.914845e+02
3	5	1	5.747694e-01	2.025316e-01	1.894071e+02
3	6	1	3.303599e+00	1.265823e-01	1.909889e+02
3	7	1	2.541343e-01	2.025316e-01	1.886650e+02
4	1	1.060026e+01	NaN	NaN	1.250150e+02
4	2	9.433732e+00	NaN	NaN	1.252284e+02
4	3	1	1.060026e+01	0	1.248976e+02
4	4	1	9.433732e+00	0	1.246905e+02
4	5	1	9.433732e+00	0	1.248510e+02
4	6	1	9.433732e+00	0	1.248310e+02
4	7	1	9.433732e+00	0	1.247933e+02
5	1	5.917686e+00	NaN	NaN	1.523021e+02
5	2	4.171125e+00	NaN	NaN	1.512082e+02
5	3	1	6.649436e+00	0	1.527428e+02
5	4	1	4.686904e+00	0	1.532531e+02
5	5	1	2.616505e+00	2.531646e-02	1.515561e+02
5	6	1	4.171125e+00	0	1.514426e+02
5	7	1	1.029576e+00	5.063291e-02	1.522848e+02
6	1	3.401305e+01	NaN	NaN	2.485261e+02
6	2	3.401305e+01	NaN	NaN	2.482991e+02
6	3	1	1.000000e-01	2.784810e-01	2.390293e+02
6	4	1	2.012785e-01	2.784810e-01	2.374895e+02
6	5	1	5.115178e-01	2.784810e-01	2.384073e+02
6	6	1	1.000000e-01	2.784810e-01	2.375597e+02
6	7	1	3.605471e-01	2.784810e-01	2.384220e+02
7	1	5.422221e+01	NaN	NaN	2.864859e+02
7	2	5.422221e+01	NaN	NaN	2.862999e+02
7	3	1	5.422221e+01	0	2.861455e+02
7	4	1	5.422221e+01	0	2.864431e+02
7	5	1	5.422221e+01	0	2.866170e+02
7	6	1	5.422221e+01	0	2.866721e+02
7	7	1	5.422221e+01	0	2.863258e+02
8	1	1.689850e+01	NaN	NaN	1.686841e+02
8	2	1.689850e+01	NaN	NaN	1.685191e+02
8	3	1	6.649436e+00	7.594937e-02	1.619519e+02
8	4	1	2.940048e+00	1.012658e-01	1.611638e+02
8	5	1	1.594159e-01	1.265823e-01	1.612189e+02
8	6	1	4.552268e-01	1.265823e-01	1.619881e+02
8	7	1	1.641307e+00	1.012658e-01	1.593989e+02
9	1	7.471671e+00	NaN	NaN	1.899383e+02
9	2	6.649436e+00	NaN	NaN	1.864494e+02
9	3	1	1.641307e+00	1.265823e-01	1.880993e+02
9	4	1	5.917686e+00	2.531646e-02	1.878056e+02
9	5	1	5.917686e+00	0	1.832311e+02
9	6	1	5.917686e+00	2.531646e-02	1.867345e+02
9	7	1	5.115178e-01	1.265823e-01	1.848291e+02
10	1	2.693889e+01	NaN	NaN	3.530230e+02
10	2	2.693889e+01	NaN	NaN	3.539759e+02
10	3	1	2.693889e+01	2.531646e-02	3.526197e+02
10	4	1	1.262600e-01	6.835443e-01	3.527245e+02
10	5	1	2.693889e+01	2.531646e-02	3.538534e+02
10	6	1	4.171125e+00	5.822785e-01	3.524312e+02
10	7	1	2.693889e+01	2.531646e-02	3.536340e+02
11	1	4.968240e+02	NaN	NaN	3.952667e+02
11	2	7.048574e+02	NaN	NaN	3.953736e+02
11	3	1	1.418727e-01	1.341772e+00	3.698130e+02
11	4	1	1.262600e-01	1.291139e+00	3.646308e+02
