Item,name,Actual Name of Item on Website,Label1,Label2,Patch,Picture of Item (Precise),Cartoon Picture (Animated),Market Price,Value of Item,Link to Item
1,Toothpaste,"Colgate Total Advanced Whitening Toothpaste with Fluoride, Multi Benefit Toothpaste with Sensitivity Relief and Cavity Protection - 5.1 ounce",daily necessity,health,1,,,6.27,LOW,https://www.amazon.com/dp/B07L5RWJ9H?ref_=cm_sw_r_cp_ud_dp_K29XAXP9F781NATA7XRD
2,Dry-Erase Marker,"Black Chisel Tip Dry Erase Markers Low Odor, Perfect for School, Office, and Home (Variation Pack Sizes) - 3 Pack",office supplies,,1,,,2.99,LOW,https://www.amazon.com/Chisel-Markers-Perfect-School-Variation/dp/B09CF267MT/ref=sr_1_2_sspa?crid=9UA6O7L28HCS&keywords=black+expo+marker&qid=1656342067&sprefix=black+expo+marker%2Caps%2C113&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzT0lRWEJEUlUxNlYwJmVuY3J5cHRlZElkPUEwNDA0NDU3UDRUOTY3TjFVWDM1JmVuY3J5cHRlZEFkSWQ9QTA1NjI0MTdLQk9PRTQ3OTM2RjQmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
3,Hand Soap,Softsoap Aquarium Hand Soap,daily necessity,health,1,,,5.1,LOW,https://www.amazon.com/Softsoap-Antibacterial-Liquid-Hand-Soap/dp/B00006IC2G/ref=sr_1_7?crid=14SMLDUPJ9XIF&keywords=soft-soap+aquarium&qid=1656338739&sprefix=soft-soap+aquarium%2Caps%2C183&sr=8-7
4,Umbrella,"totes Auto Open Wooden Handle J Stick Umbrella, Black",daily necessities,,1,,,23.0,LOW,https://www.amazon.com/Totes-Wooden-Handle-Stick-Umbrella/dp/B005FOJAR0/ref=sr_1_7?crid=12N96H3U5MNH5&keywords=black+umbrella&qid=1656340476&sprefix=black+umbrella+%2Caps%2C64&sr=8-7
5,Candle,"Jar Candle, 8oz Soy Wax Candle(1 Pack), 35 Hours Long Burning Pillar Candle, White Pillar Candle in 10oz Old-Fashioned Whiskey Glass",daily necessities,,1,,,11.98,LOW,https://www.amazon.com/Candle-Burning-Pillar-Old-Fashioned-Whiskey/dp/B09BKTLBZD/ref=sr_1_37?crid=3T6FNE86UDPS3&keywords=white+candle&qid=1656342229&sprefix=white+candle%2Caps%2C74&sr=8-37
6,Notebook,"Five Star Spiral Notebook, 5 Subject, Wide Ruled Paper, 200 Sheets, 10-1/2"" x 8"", Gray (73200)",office supplies,,1,,,11.0,LOW,https://www.amazon.com/Five-Star-Notebook-Subject-73200/dp/B071CR5LXC/ref=sr_1_6?crid=2QANWPP3LMH0S&keywords=grey%2Bnotebook&qid=1656338906&sprefix=grey%2Bnotebook%2Caps%2C179&sr=8-6&th=1
7,Coffee Mug,Corikee 330ML 11.2OZ White Ceramics Mug for Coffee/Tea/Water/Latte,daily necessities ,,1,,,5.39,LOW,"https://www.amazon.com/Corikee-330ML-White-Ceramics-Coffee/dp/B087QKW91B/ref=sr_1_6?crid=194O2DUKPG0IG&keywords=white+coffee+mug&qid=1656339798&sprefix=white+coffee+mug%2Caps%2C72&sr=8-6

"
8,Bookbag,JanSport SuperBreak One Backpack - Lightweight School Bookbag,office supplies,travel,1,,,32.17,MEDIUM,https://www.amazon.com/JanSport-Superbreak-Backpack-Jansport-Black/dp/B0007QCQGI/ref=sr_1_1_sspa?crid=3BO44DFPECTEK&keywords=black+jansport+backpack&qid=1656341403&sprefix=black+jansport+b%2Caps%2C79&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExU0JCM0dYOE1XNFkmZW5jcnlwdGVkSWQ9QTAwMTg2MzhTMldNRUFIWVpUVDkmZW5jcnlwdGVkQWRJZD1BMDAzNzQ5OE5TVEw3QlJMNzFURSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
9,Charging Box (Multi-Plug In),"iClever USB Wall Charger, 40W 8A 4-Port Charging Station with Foldable Plug, USB Power Adapter for iPhone 11 Pro Xs/XS Max/XR/X/8/7,iPad Pro/Air 2/Mini 4/3, Galaxy/Note/Edge, LG, Nexus, HTC, and More",electronic,,1,,,25.99,MEDIUM,https://www.amazon.com/iClever-Charger-Charging-Station-Foldable/dp/B016ZNTUQA
10,Speaker,"Bluetooth Speaker, MusiBaby M88 Bluetooth Speakers, Wireless Speaker, Speakers Bluetooth Wireless,Dual Pairing, Bluetooth 5.0,Loud Stereo Sound,Booming Bass,30H Playtime for Home& Outdoor Party, Black",electronic,,1,,,44.99,MEDIUM,https://www.amazon.com/Bluetooth-MusiBaby-M88-Portable-Waterproof/dp/B08HHZFVYC/ref=sxin_13_pa_sp_search_thematic_sspa?content-id=amzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%3Aamzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5&crid=2JPCP7FQK2GAI&cv_ct_cx=bluetooth+speakers&keywords=bluetooth+speakers&pd_rd_i=B08HHZFVYC&pd_rd_r=e479da74-f382-4025-aaf0-6f7f41cb5243&pd_rd_w=GuL6Z&pd_rd_wg=nViT1&pf_rd_p=b245e49f-68a4-4489-b1f9-81f4034255f5&pf_rd_r=6MYSKMWTC9ZEG74JEW2V&qid=1656342471&sprefix=blue%2Caps%2C79&sr=1-4-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzQTFWNjkzN1ZHMURRJmVuY3J5cHRlZElkPUEwNDc2Mjc1MUdSNFIxM0tKT0U4QyZlbmNyeXB0ZWRBZElkPUEwMjA4ODUyN0tXNTdRMllETlI3JndpZGdldE5hbWU9c3Bfc2VhcmNoX3RoZW1hdGljJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
