Group,subID,trial,TimePressure,TimeConstraint,Vagueness,Vaguenesscode,ID1,ID2,ID3,V1,V2,V3,ID_left,ID_middle,ID_right,Bid_left,Bid_middle,Bid_right,chosenItem,RT,RTvariance,chosenPosition,chosenID,chosenValue,fixation_time,option_time,choice_time,feedback_time,timeout,Definitive,sdV1,sdV2,sdV3
1,22102402,1,High,1.5,Vague,1,18,17,36,89.9,90,9.3,17,36,18,90,9.3,89.9,2,0.746,0,L,17,90,6.197,7.389,8.135,8.139,0,0,0.141421356,0.047140452,1.020892855
1,22102402,2,High,1.5,Vague,1,14,15,20,17.3,42.7,2.6,14,20,15,17.3,2.6,42.7,1,0.691,0,L,14,17.3,8.644,10.284,10.975,10.978,0,0,1.465908895,1.067707825,0.571547607
1,22102402,3,High,1.5,Vague,1,14,10,22,17.3,31.7,4,22,14,10,4,17.3,31.7,1,0.844,0.001,D,14,17.3,11.483,13.619,14.463,14.466,0,0,1.465908895,1.219289411,2.02155056
1,22102402,4,High,1.5,Precise,0,18,17,8,89.9,90,6.6,17,18,8,90,89.9,6.6,2,0.645,0,L,17,90,14.971,16.443,17.087,17.09,0,1,0.141421356,0.047140452,2.662079388
1,22102402,5,High,1.5,Precise,0,18,17,7,89.9,90,2.2,7,17,18,2.2,90,89.9,2,0.87,0,D,17,90,17.594,20.105,20.975,20.98,0,1,0.141421356,0.047140452,0.40824829
1,22102402,6,High,1.5,Vague,1,10,17,27,31.7,90,6.4,27,10,17,6.4,31.7,90,2,0.583,0.001,R,17,90,21.485,22.832,23.415,23.418,0,0,1.219289411,0.047140452,0.804155872
1,22102402,7,High,1.5,Precise,0,15,18,13,42.7,89.9,2.4,18,15,13,89.9,42.7,2.4,2,0.752,0,L,18,89.9,23.921,26.791,27.543,27.546,0,1,1.067707825,0.141421356,0.865383666
1,22102402,8,High,1.5,Precise,0,15,17,7,42.7,90,2.2,17,15,7,90,42.7,2.2,2,0.58,0.001,L,17,90,28.049,30.531,31.111,31.114,0,1,1.067707825,0.047140452,0.40824829
1,22102402,9,High,1.5,Precise,0,14,15,13,17.3,42.7,2.4,14,13,15,17.3,2.4,42.7,1,0.834,0.001,L,14,17.3,31.617,32.861,33.695,33.698,0,1,1.465908895,1.067707825,0.865383666
1,22102402,10,High,1.5,Vague,1,10,16,23,31.7,64.9,2.3,16,10,23,64.9,31.7,2.3,2,1.033,0,L,16,64.9,34.201,35.189,36.223,36.225,0,0,1.219289411,12.09802555,0.899382504
1,22102402,11,High,1.5,Precise,0,14,10,12,17.3,31.7,11.7,14,10,12,17.3,31.7,11.7,1,1.243,0,L,14,17.3,36.729,39.372,40.615,40.617,0,1,1.465908895,1.219289411,3.024345659
1,22102402,12,High,1.5,Precise,0,15,16,6,42.7,64.9,4.4,6,16,15,4.4,64.9,42.7,1,0.757,0,R,15,42.7,41.12,41.698,42.455,42.458,0,1,1.067707825,12.09802555,1.54344492
1,22102402,13,High,1.5,Vague,1,14,10,32,17.3,31.7,7.5,32,14,10,7.5,17.3,31.7,1,0.796,0,D,14,17.3,42.961,43.763,44.559,44.562,0,0,1.465908895,1.219289411,0.833999734
1,22102402,14,High,1.5,Precise,0,14,15,12,17.3,42.7,11.7,15,14,12,42.7,17.3,11.7,2,0.679,0,L,15,42.7,45.065,47.656,48.335,48.337,0,1,1.465908895,1.067707825,3.024345659
1,22102402,15,High,1.5,Precise,0,15,18,7,42.7,89.9,2.2,18,7,15,89.9,2.2,42.7,2,0.873,0,L,18,89.9,48.84,50.03,50.903,50.906,0,1,1.067707825,0.141421356,0.40824829
1,22102402,16,High,1.5,Precise,0,14,16,7,17.3,64.9,2.2,16,14,7,64.9,17.3,2.2,1,0.663,0.001,D,14,17.3,51.409,52.913,53.575,53.578,0,1,1.465908895,12.09802555,0.40824829
1,22102402,17,High,1.5,Vague,1,18,17,20,89.9,90,2.6,20,17,18,2.6,90,89.9,2,0.661,0.001,D,17,90,54.08,54.819,55.479,55.481,0,0,0.141421356,0.047140452,0.571547607
1,22102402,18,High,1.5,Vague,1,10,16,32,31.7,64.9,7.5,16,32,10,64.9,7.5,31.7,3,0.562,0.001,D,32,7.5,55.984,58.501,59.064,59.066,0,0,1.219289411,12.09802555,0.833999734
1,22102402,19,High,1.5,Precise,0,16,17,9,64.9,90,6.4,17,9,16,90,6.4,64.9,2,0.564,0,L,17,90,59.568,61.579,62.143,62.146,0,1,12.09802555,0.047140452,2.407396011
1,22102402,20,High,1.5,Vague,1,10,18,22,31.7,89.9,4,18,22,10,89.9,4,31.7,2,0.761,0,L,18,89.9,62.649,64.942,65.703,65.706,0,0,1.219289411,0.141421356,2.02155056
1,22102402,21,High,1.5,Precise,0,14,15,6,17.3,42.7,4.4,15,6,14,42.7,4.4,17.3,2,0.978,0.001,L,15,42.7,66.208,68.645,69.623,69.626,0,1,1.465908895,1.067707825,1.54344492
1,22102402,22,High,1.5,Precise,0,10,17,8,31.7,90,6.6,10,17,8,31.7,90,6.6,2,0.589,0.001,D,17,90,70.129,71.171,71.759,71.762,0,1,1.219289411,0.047140452,2.662079388
1,22102402,23,High,1.5,Precise,0,14,10,13,17.3,31.7,2.4,10,14,13,31.7,17.3,2.4,1,0.959,0,D,14,17.3,72.266,74.448,75.407,75.41,0,1,1.465908895,1.219289411,0.865383666
1,22102402,24,High,1.5,Precise,0,10,18,13,31.7,89.9,2.4,10,18,13,31.7,89.9,2.4,2,1.011,0,D,18,89.9,75.913,77.164,78.175,78.178,0,1,1.219289411,0.141421356,0.865383666
1,22102402,25,High,1.5,Vague,1,14,15,22,17.3,42.7,4,14,22,15,17.3,4,42.7,2,0.861,0,R,15,42.7,78.681,79.37,80.231,80.234,0,0,1.465908895,1.067707825,2.02155056
1,22102402,26,High,1.5,Precise,0,10,18,8,31.7,89.9,6.6,18,8,10,89.9,6.6,31.7,2,0.714,0,L,18,89.9,80.737,82.029,82.743,82.745,0,1,1.219289411,0.141421356,2.662079388
1,22102402,27,High,1.5,Vague,1,14,18,22,17.3,89.9,4,18,14,22,89.9,17.3,4,2,0.555,0,L,18,89.9,83.249,84.06,84.615,84.618,0,0,1.465908895,0.141421356,2.02155056
1,22102402,28,High,1.5,Vague,1,18,17,23,89.9,90,2.3,23,17,18,2.3,90,89.9,1,0.685,0.001,R,18,89.9,85.12,85.987,86.671,86.674,0,0,0.141421356,0.047140452,0.899382504
1,22102402,29,High,1.5,Vague,1,14,18,27,17.3,89.9,6.4,18,14,27,89.9,17.3,6.4,2,0.797,0,L,18,89.9,87.177,88.978,89.775,89.778,0,0,1.465908895,0.141421356,0.804155872
1,22102402,30,High,1.5,Vague,1,14,16,22,17.3,64.9,4,14,22,16,17.3,4,64.9,1,0.896,0,L,14,17.3,90.28,93.24,94.135,94.138,0,0,1.465908895,12.09802555,2.02155056
1,22102402,31,High,1.5,Vague,1,14,16,36,17.3,64.9,9.3,16,14,36,64.9,17.3,9.3,1,1.03,0,D,14,17.3,94.64,95.961,96.991,96.994,0,0,1.465908895,12.09802555,1.020892855
